doi;coo_authors;num_authors;num_citation;num_institution;date;
10.1109/GLOBECOM42002.2020.9348131;Michal Yemini, Stephanie Gil, Andrea Goldsmith,;3;4;3;2020-12-01;
10.1109/LCSYS.2018.2853641;Stephanie Gil, Cenk Baykal, Daniela Rus,;3;10;2;2019-01-01;
10.1109/ICRA.2019.8793788;Thomas Wheeler, Ezhil Bharathi, Stephanie Gil,;3;7;1;2019-05-01;
10.1007/978-3-030-95459-8_51;Weiying Wang, Ninad Jadhav, Paul Vohs, Nathan Hughes, Mark Mazumder, Stephanie Gil,;6;0;2;2022-01-01;
10.15607/RSS.2018.XIV.063;Joseph DelPreto, Andres F. Salazar-Gomez, Stephanie Gil, Ramin M. Hasani, Frank H. Guenther, Daniela Rus,;6;13;3;2018-01-01;
10.1007/S10514-017-9621-5;Stephanie Gil, Swarun Kumar, Mark Mazumder, Dina Katabi, Daniela Rus,;5;39;3;2017-08-01;
10.1109/ICRA.2017.7989777;Andres F. Salazar-Gomez, Joseph DelPreto, Stephanie Gil, Frank H. Guenther, Daniela Rus,;5;1;1;2023-01-01;
10.1007/S00446-021-00417-3;Armando Castañeda, Yannai A. Gonczarowski, Yoram Moses,;3;1;3;2022-04-01;
10.1016/J.GEB.2021.03.001;Moshe Babaioff, Yannai A. Gonczarowski, Noam Nisan,;3;1;1;2022-07-01;
10.1145/3439722;Yannai A. Gonczarowski, S. Matthew Weinberg,;2;6;2;2021-06-01;
10.1137/1.9781611975994.150;Moshe Babaioff, Kira Goldner, Yannai A. Gonczarowski,;3;1;2;2022-09-06;
10.1016/J.GEB.2018.10.013;Yannai A. Gonczarowski, Noam Nisan, Rafail Ostrovsky, Will Rosenbaum,;4;7;4;2019-11-01;
10.1145/3328526.3329596;Moshe Babaioff, Yannai A. Gonczarowski, Assaf Romm,;3;1;4;2019-06-17;
10.1145/3328526.3329620;Yannai A. Gonczarowski, Noam Nisan, Lior Kovalio, Assaf Romm,;4;11;1;2021-05-06;
10.1016/J.JET.2018.07.001;Itai Ashlagi, Yannai A. Gonczarowski,;2;30;3;2018-09-01;
10.1109/FOCS.2018.00047;Yannai A. Gonczarowski, S. Matthew Weinberg,;2;21;2;2018-11-30;
10.1145/3219166.3219203;Moshe Babaioff, Yang Cai 0001, Yannai A. Gonczarowski, Mingfei Zhao,;4;1;2;2022-09-06;
10.1145/3219166.3219187;Moshe Babaioff, Yannai A. Gonczarowski, Yishay Mansour, Shay Moran,;4;2;5;2020-01-01;
10.1145/3188745.3188786;Yannai A. Gonczarowski,;1;0;1;2021-06-15;
10.1145/3123766;Yannai A. Gonczarowski, Gustavo Fortes Tondello,;2;4;1;2019-05-02;
10.1145/3033274.3085104;Sophie Bade, Yannai A. Gonczarowski,;2;3;2;2021-06-15;
10.1145/3055399.3055426;Moshe Babaioff, Yannai A. Gonczarowski, Noam Nisan,;3;0;2;2022-07-12;
